"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42628-80475","W","Oskar","Oskar Lindblom","Lindblom","11.026666259765625","30","4300","BOS@PHI","PHI","BOS","IR","Illness","","",""
"42628-8328","D","Matt","Matt Niskanen","Niskanen","8.545454545454545","44","4300","BOS@PHI","PHI","BOS","","","","",""
"42628-74076","W","Warren","Warren Foegele","Foegele","8.63111097547743","45","4300","CAR@WSH","CAR","WSH","","","","",""
"42628-111471","W","Kaapo","Kaapo Kakko","Kakko","6.905000305175781","40","4300","NYI@NYR","NYR","NYI","","","","",""
"42628-103940","D","Adam","Adam Fox","Fox","9.622727134011008","44","4200","NYI@NYR","NYR","NYI","","","","",""
"42628-64101","D","Noah","Noah Hanifin","Hanifin","8.008510508435839","47","4200","CGY@MON","CGY","MON","","","","",""
"42628-82087","C","Filip","Filip Chytil","Chytil","9.134286063058036","35","4200","NYI@NYR","NYR","NYI","","","","",""
"42628-8972","W","Tyler","Tyler Bozak","Bozak","8.244444444444444","45","4200","ANH@STL","STL","ANH","","","","",""
"42628-97116","C","Jesperi","Jesperi Kotkaniemi","Kotkaniemi","5.967741935483871","31","4200","CGY@MON","MON","CGY","","","","",""
"42628-68655","D","Matt","Matt Grzelcyk","Grzelcyk","7.068889024522569","45","4100","BOS@PHI","BOS","PHI","DTD","Lower body","","",""
"42628-66686","W","Anthony","Anthony Beauvillier","Beauvillier","9.109302609465843","43","4100","NYI@NYR","NYI","NYR","","","","",""
"42628-11170","D","Nick","Nick Leddy","Leddy","8.628571428571428","35","4100","NYI@NYR","NYI","NYR","","","","",""
"42628-8158","W","Ilya","Ilya Kovalchuk","Kovalchuk","10.228571573893229","21","4100","CGY@MON","MON","CGY","","","","",""
"42628-23053","W","Jesper","Jesper Fast","Fast","6.958139818768169","43","4000","NYI@NYR","NYR","NYI","","","","",""
"42628-66756","W","Andrew","Andrew Mangiapane","Mangiapane","5.973333062065972","45","4000","CGY@MON","CGY","MON","","","","",""
"42628-9033","C","Casey","Casey Cizikas","Cizikas","7.652631257709704","38","4000","NYI@NYR","NYI","NYR","DTD","Groin","","",""
"42628-13742","D","Ben","Ben Chiarot","Chiarot","9.581818320534445","44","4000","CGY@MON","MON","CGY","DTD","Lower body","","",""
"42628-39464","D","Hampus","Hampus Lindholm","Lindholm","8.81621654613598","37","3900","ANH@STL","ANH","STL","","","","",""
"42628-66680","D","Jaccob","Jaccob Slavin","Slavin","10.24888916015625","45","3900","CAR@WSH","CAR","WSH","","","","",""
"42628-54521","D","Shayne","Shayne Gostisbehere","Gostisbehere","7.12249984741211","40","3900","BOS@PHI","PHI","BOS","O","Knee","","",""
"42628-62294","D","Brady","Brady Skjei","Skjei","9.65581423737282","43","3900","NYI@NYR","NYR","NYI","","","","",""
"42628-14178","D","Justin","Justin Faulk","Faulk","7.386956256368886","46","3900","ANH@STL","STL","ANH","","","","",""
"42628-11158","D","T.J.","T.J. Brodie","Brodie","6.5878050269150155","41","3900","CGY@MON","CGY","MON","","","","",""
"42628-66515","D","Vince","Vince Dunn","Dunn","7.247825954271399","46","3900","ANH@STL","STL","ANH","","","","",""
"42628-66688","D","Rasmus","Rasmus Andersson","Andersson","7.402127529712433","47","3800","CGY@MON","CGY","MON","","","","",""
"42628-12952","D","Jake","Jake Gardiner","Gardiner","5.502222357855903","45","3800","CAR@WSH","CAR","WSH","","","","",""
"42628-9036","D","Travis","Travis Hamonic","Hamonic","7.824389946169969","41","3800","CGY@MON","CGY","MON","","","","",""
"42628-62920","C","Lucas","Lucas Wallmark","Wallmark","7.684444173177083","45","3800","CAR@WSH","CAR","WSH","","","","",""
"42628-70128","W","Danton","Danton Heinen","Heinen","7.2555555555555555","45","3800","BOS@PHI","BOS","PHI","","","","",""
"42628-58880","W","Ivan","Ivan Barbashev","Barbashev","6.672727411443537","44","3700","ANH@STL","STL","ANH","","","","",""
"42628-62195","D","Brett","Brett Pesce","Pesce","8.408888753255209","45","3700","CAR@WSH","CAR","WSH","","","","",""
"42628-70928","C","Sam","Sam Steel","Steel","5.93499984741211","40","3700","ANH@STL","ANH","STL","","","","",""
"42628-59271","D","Travis","Travis Sanheim","Sanheim","6.819999864366319","45","3700","BOS@PHI","PHI","BOS","","","","",""
"42628-62927","C","Derek","Derek Ryan","Ryan","8.229786974318484","47","3700","CGY@MON","CGY","MON","","","","",""
"42628-8186","D","Zdeno","Zdeno Chara","Chara","7.436363913796165","44","3700","BOS@PHI","BOS","PHI","","","","",""
"42628-66606","D","Brandon","Brandon Carlo","Carlo","6.991304480511209","46","3600","BOS@PHI","BOS","PHI","","","","",""
"42628-70199","D","Devon","Devon Toews","Toews","7.9046510208484735","43","3600","NYI@NYR","NYI","NYR","","","","",""
